country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Kyrgyz Republic,0.0,0.0,0.0,0.0,0.0,9990170000.0,10059950000.0,9199330000.0,9083030000.0,11746300000.0,11118280000.0,12211500000.0,10932200000.0,9943650000.0,12095200000.0,13723400000.0,12444100000.0,10792640000.0,13490800000.0,14072300000.0,14304900000,14886400000.0,13956000000.0,10746120000.0,9908760000.0,10327440000.0,0.0
Latvia,0.0,0.0,0.0,0.0,0.0,4500810000.0,3279660000.0,2523710000.0,2872610000.0,3302920000.0,2942390000.0,1860800000.0,2954020000.0,4314730000.0,2756310000.0,2814460000.0,2837720000.0,2465560000.0,2267850000.0,3105210000.0,3326180000,2698160000.0,2733050000.0,3105210000.0,3454110000.0,3523890000.0,0.0
Lebanon,584989000.0,560566000.0,610575000.0,600108000.0,500090000.0,500090000.0,560566000.0,719897000.0,708267000.0,817589000.0,717571000.0,797818000.0,901325000.0,785025000.0,332618000.0,448918000.0,332618000.0,678029000.0,1360710000.0,1119969000.0,1045537000,695474000.0,584989000.0,373323000.0,622205000.0,838523000.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0,414028000.0,338433000.0,310521000.0,393094000.0,452407000.0,373323000.0,325640000.0,296565000.0,417517000.0,415191000.0,339596000.0,325640000.0,353552000.0,324477000.0,421006000.0,451244000,396583000.0,421006000.0,402398000.0,424495000.0,539632000.0,0.0
Luxembourg,86992400.0,100018000.0,110950200.0,110019800.0,85015300.0,70012600.0,83968600.0,70012600.0,66988800.0,86062000.0,88039100.0,60010800.0,83038200.0,115020700.0,85015300.0,124441000.0,118626000.0,98971300.0,78967700.0,103972200.0,93970400,110950200.0,117463000.0,132582000.0,105949300.0,108042700.0,61057500.0
Malaysia,3733230000.0,4082130000.0,4919490000.0,5675440000.0,5245130000.0,3989090000.0,4407770000.0,4361250000.0,4872970000.0,6524430000.0,6222050000.0,5186980000.0,3872790000.0,4861340000.0,7524610000.0,6966370000.0,7059410000.0,5303280000.0,5059050000.0,5826630000.0,5186980000,6443020000.0,6489540000.0,7466460000.0,6954740000.0,6477910000.0,0.0
Mexico,26283800000.0,20003600000.0,18375400000.0,20817700000.0,24306700000.0,23492600000.0,21864400000.0,26167500000.0,26283800000.0,20003600000.0,27563100000.0,31401000000.0,26400100000.0,24655600000.0,32796600000.0,33145500000.0,28493500000.0,25004500000.0,19887300000.0,25237100000.0,27679400000,30354300000.0,27330500000.0,39193100000.0,26749000000.0,37099700000.0,35820400000.0
Moldova,0.0,0.0,0.0,0.0,0.0,257023000.0,348900000.0,259349000.0,374486000.0,277957000.0,324477000.0,366345000.0,382627000.0,83968600.0,91062900.0,58033700.0,73036400.0,120952000.0,63965000.0,58964100.0,63034600,76990600.0,33029200.0,81991500.0,55009900.0,78967700.0,0.0
Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860800000,1756130000.0,1279300000.0,1535160000.0,2070140000.0,2756310000.0,0.0
Morocco,486134000.0,643139000.0,824567000.0,936215000.0,1157185000.0,1221150000.0,1221150000.0,964127000.0,443103000.0,839686000.0,610575000.0,1953840000.0,2081770000.0,1779390000.0,824567000.0,717571000.0,871087000.0,850153000.0,1453750000.0,1604940000.0,979246000,997854000.0,915281000.0,929237000.0,2570230000.0,3465740000.0,0.0
